Name,Category,Score,Review_Num,Link,Addr,ADDR_area
스타벅스 계룡대로DT점,cafe,3.7,19,https://place.map.kakao.com/887980713,충남 계룡시 엄사면 번영로 6(지번) 엄사면 엄사리 284,충청
이우철한방누룽지삼계탕 백석직영점,restaurant,3.5,114,https://place.map.kakao.com/1664977523,충남 천안시 서북구 한들2로 46-5 1층(지번) 백석동 100,충청
만섬,restaurant,4.6,414,https://place.map.kakao.com/11405964,충남 홍성군 홍성읍 내포로251번길 26(지번) 홍성읍 옥암리 495-1,충청
꼭이집 불당동점,restaurant,5.0,243,https://place.map.kakao.com/1292334334,충남 천안시 서북구 검은들3길 9 메트로프라자빌딩 107호 꼭이집불당동점(지번) 불당동 697,충청
육화미 두정점,restaurant,4.7,925,https://place.map.kakao.com/919326753,충남 천안시 서북구 두정로 179 1층(지번) 두정동 965,충청
한촌설렁탕 온양온천점,restaurant,4.4,11,https://place.map.kakao.com/498965222,충남 아산시 온천대로 1480 1층(지번) 온천동 212-18,충청
황소숯불꼼장어구이,restaurant,5.0,30,https://place.map.kakao.com/27433348,충남 논산시 중앙로398번길 16 1층(지번) 취암동 1062-10,충청
미식가,restaurant,4.4,176,https://place.map.kakao.com/63107069,충남 태안군 태안읍 정주내3길 16-5 1층(지번) 태안읍 동문리 897-8,충청
백미한우정육식당,restaurant,3.7,2814,https://place.map.kakao.com/119438176,충남 천안시 서북구 성정두정로 14 스위스캐슬 101호(지번) 성정동 1453,충청
골든로우프,cafe,4.4,62,https://place.map.kakao.com/679784735,충남 천안시 서북구 불당30길 42 1층(지번) 불당동 1762,충청
계룡산동학식당,restaurant,3.5,3,https://place.map.kakao.com/27576722,충남 공주시 반포면 천장이길 2(지번) 반포면 학봉리 794-8,충청
만강,restaurant,4.1,36,https://place.map.kakao.com/1796322067,충남 천안시 동남구 청당2길 73 1층(지번) 청당동 283-29,충청
핑안,restaurant,4.6,102,https://place.map.kakao.com/69066788,충남 아산시 번영로 57(지번) 실옥동 17-176,충청
유진짬뽕앤돈까스,restaurant,4.4,119,https://place.map.kakao.com/27180551,충남 논산시 연무읍 안심로140번길 49 1층(지번) 연무읍 동산리 894-232,충청
코끼리공장,cafe,4.0,252,https://place.map.kakao.com/18711649,충남 천안시 동남구 목천읍 동평1길 1-8 1층(지번) 목천읍 운전리 394-10,충청
촌집,restaurant,4.0,2,https://place.map.kakao.com/9455728,충남 공주시 유구읍 시장길 41(지번) 유구읍 석남리 249-2,충청
태능초가집갈비,restaurant,4.1,311,https://place.map.kakao.com/15176697,충남 논산시 중앙로398번길 7-7 1-2층(지번) 취암동 1050-2,충청
태화식당,restaurant,3.9,154,https://place.map.kakao.com/9500122,충남 공주시 사곡면 마곡상가길 10(지번) 사곡면 운암리 728-5,충청
더몰트하우스 천안점,restaurant,3.9,182,https://place.map.kakao.com/1265058243,충남 천안시 서북구 불당31길 22 1층(지번) 불당동 1683,충청
파전칼국수,restaurant,4.0,152,https://place.map.kakao.com/21497522,충남 태안군 태안읍 시장1길 34 태안서부상가 9호(지번) 태안읍 남문리 170-16,충청
청미래,restaurant,4.1,113,https://place.map.kakao.com/1260826952,충남 천안시 서북구 공단로 64 1층(지번) 성성동 210-2,충청
소플러스 용곡점,restaurant,5.0,50,https://place.map.kakao.com/1724358682,충남 천안시 동남구 용곡2길 130 1-2층(지번) 용곡동 315-32,충청
두부랑가마솥손두부 탕정점,restaurant,3.6,50,https://place.map.kakao.com/1286603584,충남 아산시 탕정면 탕정면로8번길 69 1층(지번) 탕정면 명암리 947-4,충청
영인산마루,restaurant,4.2,151,https://place.map.kakao.com/11504246,충남 아산시 영인면 아산온천로 16-8(지번) 영인면 아산리 102-2,충청
여울목카페,cafe,4.1,27,https://place.map.kakao.com/2099076403,충남 금산군 제원면 낙안길 3(지번) 제원면 천내리 255-1,충청
마운틴피시텔 레스토랑,restaurant,4.9,88,https://place.map.kakao.com/13110298,충남 천안시 동남구 버들로 4(지번) 대흥동 95,충청
미경,restaurant,4.4,38,https://place.map.kakao.com/8345155,충남 아산시 삼동로40번길 46 1층(지번) 모종동 570-2,충청
원조명가,restaurant,4.0,51,https://place.map.kakao.com/25763069,충남 보령시 문화원길 42 1층(지번) 대천동 618-258,충청
